DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
15/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5001792;SALADEARTE CINEMAM;1;6000052;5722;5694;SALVADOR;BA;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
16/05/2026;MARTE UM;;B2000312900000;BRASIL;5003772;CINEART PONTEIO 1;149;6000013;437;26528;BELO HORIZONTE;MG;EMBAUBA FILMES LTDA;15.144.532/0001-70;202546259000626;21/05/2026 16:24:56
16/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5001792;SALADEARTE CINEMAM;1;6000052;5722;5694;SALVADOR;BA;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
17/05/2026;KOKUHÔ;KOKUHO - O PREÇO DA PERFEIÇÃO;E2600003700000;JAPAO;5001226;RESERVA CULTURAL 4;30;6000092;2336;6665;SÃO PAULO;SP;SA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA;33.356.343/0001-42;304140611000726;03/06/2026 14:47:59
23/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5001792;SALADEARTE CINEMAM;6;6000052;5722;5694;SALVADOR;BA;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5000798;ANÁLIA FRANCO - SALA 07;80;6000058;749;2622;SÃO PAULO;SP;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5000690;CINE ARICANDUVA 12;129;6000018;1843;897;SÃO PAULO;SP;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5002434;CINE BARRA SHOPPING SUL 3;153;6000018;1843;14884;PORTO ALEGRE;RS;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5000140;CINE GOIÂNIA 3;46;6000037;1991;2408;GOIÂNIA;GO;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5000493;CINE NITEROI 6;113;6000018;1843;2543;NITERÓI;RJ;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
24/05/2026;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;2026 TXT MOA CON IN JAPAN: LIVE VIEWING;E2600145500000;CORÉIA DO SUL;5006041;CINEMARK FLAMBOYANT SALA 03;65;6000018;1843;40181;GOIÂNIA;GO;CINECOLOR DO BRASIL LTDA;05.332.959/0001-48;20006574001126;26/05/2026 09:24:50
